Source,Target,Citation_Method,Weight_NumOfCite,Notes
P004,S025,"direct quote, epigraph",1,
P004,S026,footnote (asterisk),1,
P004,S027,footnote (asterisk),1,
P004,S028,footnote (asterisk),1,"Citation may contain a typo. It reads ""25. C. 2. c. 77,"" which does not exist. Meanwhile, 25. C. 2. c. 7 refers to on of the Navigation Acts (it is listed with several other Navigation Acts)."
P004,S029,footnote (asterisk),1,"Cited as 8. W. M. c. 22, though Mary had died at the time of the Acts' passage and the correct citation would be 8. W. 3. c. 22 "
P004,S030,footnote (asterisk),1,"Incomplete citation, possibly referring to the Wool Act of 1699, the Piracy Act of 1698, or the Newfoundland act of 1699 (otherwise unspecified collection of statutes passed in regnal year 11 Will 3)."
P004,S031,footnote (asterisk),1,"This act was cited as ""4 Anne"" but likely refers to the Naval Stores Act as it fits with the theme of mercantilist restrictions that the other references in this note share. "
P004,S032,footnote (asterisk),1,
P004,S033,"footnote (asterisk), narrative citation",1,
P004,S034,"footnote (asterisk), narrative citation",1,The metadata in the citation is slightly out of order. 
P004,S035,"footnote (dagger), narrative citation",1,Switching from asterisk to a dagget to differentiation between the two citations
P004,S036,"footnote (asterisk), narrative citation",1,
P004,S037,"footnote (dagger), narrative citation",1,
P004,S038,"footnote (double dagger), narrative citation",1,
P004,S039,"footnote (asterisk, dagger), narrative citation",2,"One of the legal citations is missing the chapter, but the title is included in the narrative"
P004,S040,"footnote (asterisk), narrative citation",1,"cited as 14 G. 3., but the full citation is 14 G. 3, c. 19; the title is included in the narrative"
P004,S041,"footnote (asterisk), narrative citation",1,
P004,S042,"footnote (asterisk), narrative citation",1,
P004,S043,discursive footnote (asterisk),1,Discursive footnote describing how the colonies were distributed to crown favorites
P004,S044,discursive footnote (asterisk),1,Discursive footnote describing how the colonies were distributed to crown favorites
P004,S045,discursive footnote (asterisk),1,Discursive footnote describing how the colonies were distributed to crown favorites
P003,S015,quotation marks,1,"Attributed to Cicero, but a slight misquote that appears to have been copied from The Principles of Natural and Pilitical Law by Jean Jacques Burlamqui"
P003,S016,"narrative citation, direct quote with quotation marks",6,"At one point, Galloway states that he is citing Locke, ""because it has been often hereforto relied on by the American advocates, as worthly of credit."" (p. 15)"
P003,S017,"narrative citation, direct quote with quotation marks",2,
P003,S018,"narrative citation, direct quote with quotation marks",1,
P003,S019,"narrative citation, direct quote with quotation marks",6,"Galloway was likely accessing the Continental Congrees documents from the volume published by the order of congress that included the  bill of rights, a list of grievances, occasional resolves, the Association, an address to the people of Great-Britain, and a memorial to the inhabitants of the British American colonies."
P003,S020,"narrative citation, direct quote with quotation marks",1,"This long quotation is preceeded by a statement that Galloway is corroborating his argument with ""the most respectable authorities."" (p. 21)"
P003,S021,"narrative citation, direct quote with quotation marks",3,
P003,S022,"narrative citation, direct quote with quotation marks",1,
P003,S023,"narrative citation, direct quote with quotation marks",1,
P003,S024,"narrative citation, direct quote with quotation marks",,"These proceedings were not widely circulated,  but each member of the congress received a copy. Galloway was a close ally of Benjamin Franklin and may have accessed the text through him."
P002,S012,"direct quote, italics",3,
P002,S002,footnote,1,Paine directs readers who would like to fully understand the importance of a state's equal representation to Burgh's work 
P005,P006,"italics, narrative citation, direct quote with quotation marks",28,"""Fugitive Thoughts"" is in response to ""Freeman"""
P005,S046,"footnote (asterisk, double dagger)",2,
P005,S047,direct quote with quotation marks,1,No specfifc text cited
P005,S021,"italics, narrative citation",8,
P005,S048,"italics, narrative citation",2,
P005,S049,"italics, narrative citation",3,
P005,S050,"italics, narrative citation",1,
P005,S051,"italics, narrative citation",5,
P005,S052,"direct quote, narrative citation",1,
P005,S053,"italics, narrative citation",1,
P005,S054,narrative citation,4,"Incomplete citation (""the 12th Charles the Second"" and the Soccage-Act)"
P005,S055,"italics, narrative citation",2,
P005,S056,"italics, narrative citation",1,
P005,S057,narrative citation,1,
P005,S058,"direct quote with quotation marks, narrative citation",1,
P005,S059,"nested reference, narrative citation, page number",1,
P005,S060,"nested reference, narrative citation",1,
P005,S061,"nested reference, narrative citation",2,
P005,S062,"nested reference, narrative citation",4,"There are several citations to British statutes listed, but they do not make sense in context so the citations may be incorrect"
P005,S063,"nested reference, direct quote with quotation marks, narrative citation",4,"After first mention, referred to as ""the 14th Char. II."""
P005,S064,"nested reference, direct quote with quotation marks, narrative citation",1,
P005,S028,"nested reference, narrative citation",1,
P005,S065,footnote (asterisk),1,The author directs readers to see this work using the latin vide at the beginning of the footnote
P001,S066,"epigraph, italics",1,"The author attribute a common latin maxim to Horace, but no text can be found linking the quotation to Horace"
P001,P002,"narrative citation, direct quote with quotation marks, dialogic response",51,The pamphlet is written in response to Thomas Paine's Common Sense and approaches his rebuttle by responding to specific quotations from the critiqued work
P001,S001,"direct quote with quotation marks, narrative citation",4,
P001,S002,narrative citation,1,Referenced to comment Paine's use of the work 
P001,S003,narrative citation,5,Including one direct quote misatributed to Montesquieu
P001,S007,narrative citation,2,
P001,S004,"direct quote with quotation marks, narrative citation",2,The name of the work was not included in the narrative citation
P001,S067,"direct quote with quotation marks, narrative citation",1,The name of the work was not included in the narrative citation
P001,S068,direct quote with quotation marks,1,
P001,S006,"direct quote with quotation marks, narrative citation",1,
P001,S008,"direct quote, narrative citation",1,
P002,S011,"direct quote with quotation marks, narrative citation",1,
P007,S052,"direct quote with quotation marks, narrative citation, footnote (asterik), footnote (parallel lines), footnote (dagger), footnote (section mark), footnote (pilcrow), page number, ibid",11,Several citations were citing material that appeared in a discursive footnote
P007,S017,"direct quote with quotation marks, footnote (dagger), footnote (asterik), page number",2,The author's name was provided but not the name of the work
P007,S069,"direct quote with quotation marks, footnote (asterik), ",1,Citation included a shortened title and the exact letters he was citing
P007,S070,"footnote (section mark), page number, volume number",2,
P007,S071,"footnote (dagger), footnote (pilcrow), page number",2,
P007,S059,"direct quote with quotation marks, footnote (dagger, double dagger, asterik, pilcrow), page number, volume number",4,
P007,S001,"direct quote with quotation marks, narrative citation, footnote (section mark), page number, volume number, ",2,
P007,S072,narrative citation,1,
P007,S073,narrative citation,1,
P007,S052,"direct quote with quotation marks, footnote (parallel lines, section mark, dagger, pilcrow), narrative citation, page number, volume number, Ibid., ",10,Citation appears at the end of a discursive footnote in several instances and once is includes as a footnote within a footnote
P007,S074,"footnote (asterik), page number",1,
P007,S075,"footnote (dagger) page number, volume number",1,
